Date,Country,Value
2022-01-01,Romania ,2.4766
2022-01-01,Iraq ,1.8349
2022-01-01,Finland ,1.6917
2022-01-01,Belgium ,0.7737
2022-01-01,Taiwan ,1.5085
2022-01-01,Madagascar ,0
2022-01-01,Georgia ,2.7027
2022-01-01,Tunisia ,0
2022-01-01,Iran ,1.2195
2022-01-01,Austria ,0.3887
2022-01-01,Ecuador ,0
2022-01-01,Liberia ,6.6667
2022-01-01,Malta ,4.6512
2022-01-01,New Zealand ,0.9615
2022-01-01,Chile ,0.3185
2022-01-01,Guam ,0
2022-01-01,Kyrgyzstan ,13.3333
2022-01-01,Venezuela ,0.2358
2022-01-01,South Korea ,0.5609
2022-01-01,Morocco ,1.7442
2022-01-01,Nicaragua ,2.7027
2022-01-01,United Kingdom ,0.3137
2022-01-01,Yemen ,0
2022-01-01,Turkey ,1.0662
2022-01-01,Nigeria ,0.6766
2022-01-02,Belize ,0
2022-01-02,Netherlands ,0.0696
2022-01-02,Laos ,0
2022-01-02,Afghanistan ,7.7922
2022-01-02,India ,0.366
2022-01-02,Niger ,0
2022-01-02,Poland ,1.4486
2022-01-02,Lesotho ,0
2022-01-02,Djibouti ,0
2022-01-02,Honduras ,0
2022-01-02,Kazakhstan ,15.4762
2022-01-02,Rwanda ,0
2022-01-02,Kosovo ,1.7699
2022-01-02,Portugal ,1.0448
2022-01-02,Japan ,0.2491
2022-01-02,United States ,0.7517
2022-01-02,Sweden ,0.3053
2022-01-02,Dominican Republic ,0
2022-01-02,Singapore ,0
2022-01-02,Russia ,18.3316
2022-01-02,Congo ,0
2022-01-02,Guinea ,0
2022-01-02,Oman ,0
2022-01-02,Philippines ,0.4292
2022-01-02,Gabon ,0
2022-01-02,Norway ,1.0101
2022-01-02,Ukraine ,54.5152
2022-01-02,Armenia ,13.2296
2022-01-02,Bangladesh ,0.1653
2022-01-02,Paraguay ,0
2022-01-02,Iceland ,0.6757
2022-01-02,Tanzania ,0
2022-01-02,Brazil ,0.4115
2022-01-02,Denmark ,0.8889
2022-01-02,Burkina Faso ,0
2022-01-02,El Salvador ,0
2022-01-02,Belarus ,17.801
2022-01-02,Saudi Arabia ,1.0417
2022-01-02,Somalia ,0
2022-01-02,Tajikistan ,0
2022-01-02,Serbia ,2.0344
2022-01-02,France ,0.6958
2022-01-02,Jamaica ,0
2022-01-02,Indonesia ,0.1407
2022-01-02,Swaziland ,0
2022-01-02,Cuba ,0
2022-01-02,Argentina ,0.263
2022-01-02,North Korea ,0
2022-01-02,Moldova ,12.1622
2022-01-02,South Sudan ,0
2022-01-02,Bolivia ,0
2022-01-02,Kenya ,0.8772
2022-01-02,Costa Rica ,0
2022-01-02,Croatia ,0.8183
2022-01-02,Australia ,0.9346
2022-01-02,Estonia ,4.878
2022-01-02,Comoros ,0
2022-01-02,Azerbaijan ,8.8737
2022-01-02,Mexico ,0.4572
2022-01-02,Mayotte ,0
2022-01-02,Germany ,0.8907
2022-01-02,Sudan ,0
2022-01-02,Ireland ,0.8902
2022-01-02,Luxembourg ,0.5556
2022-01-02,Malawi ,0
2022-01-02,Turkmenistan ,0
2022-01-02,Greece ,1.0833
2022-01-02,Cape Verde ,0
2022-01-02,Namibia ,0
2022-01-02,Ghana ,0
2022-01-02,Myanmar ,0
2022-01-02,Italy ,0.1801
2022-01-02,Kuwait ,0.6993
2022-01-02,Colombia ,0.4435
2022-01-02,Pakistan ,1.4512
2022-01-02,Benin ,0
2022-01-02,Czech Republic ,5.2124
2022-01-02,Uzbekistan ,17.6471
2022-01-02,Monaco ,0
2022-01-02,Montenegro ,2.8169
2022-01-02,Sierra Leone ,4.5455
2022-01-02,China ,1.2428
2022-01-02,Democratic Republic of the Congo ,0
2022-01-02,Zambia ,0
2022-01-02,Panama ,0
2022-01-02,Uganda ,0
2022-01-02,Cambodia ,3.3333
2022-01-02,Hong Kong ,0
2022-01-02,Senegal ,0
2022-01-02,Macedonia ,1.1696
2022-01-02,Vietnam ,0
2022-01-02,Mali ,5.4545
2022-01-02,Switzerland ,1.2155
2022-01-02,Haiti ,0
2022-01-02,Mozambique ,0
2022-01-02,Algeria ,0
2022-01-02,Latvia ,12.4378
2022-01-02,Chad ,0
2022-01-02,Slovenia ,0.6173
2022-01-02,Bahrain ,0
2022-01-02,Burundi ,0
2022-01-02,Albania ,2.3256
2022-01-02,Mauritius ,0
2022-01-02,Slovak Republic ,3.1461
2022-01-02,Cyprus ,1.4881
2022-01-02,Central African Republic ,0
2022-01-02,Libya ,0.7634
2022-01-02,Angola ,0
2022-01-02,Lebanon ,0.7547
2022-01-02,Canada ,0.5397
2022-01-02,Eritrea ,0
2022-01-02,Bosnia-Herzegovina ,0.6154
2022-01-02,Ethiopia ,0
2022-01-02,South Africa ,0.3968
2022-01-02,Brunei ,0
2022-01-02,,3.125
2022-01-02,Uruguay ,0
2022-01-02,Zimbabwe ,0
2022-01-02,Mauritania ,0
2022-01-02,Sri Lanka ,1.1236
2022-01-02,Egypt ,0.2055
2022-01-02,Botswana ,0
2022-01-02,Cameroon ,0
2022-01-02,Malaysia ,0.3846
2022-01-02,Spain ,0.2199
2022-01-02,Thailand ,0.1742
2022-01-02,Suriname ,0
2022-01-02,Guatemala ,0
2022-01-02,Israel ,2.1595
2022-01-02,Ivory Coast ,0
2022-01-02,Peru ,0.5181
2022-01-02,Qatar ,0.3587
2022-01-02,Hungary ,2.4055
2022-01-02,Jordan ,0.9554
2022-01-02,Syria ,3.0612
2022-01-02,Bulgaria ,0.6646
2022-01-02,Fiji ,3.125
2022-01-02,Guyana ,0
2022-01-02,Mongolia ,0
2022-01-02,Lithuania ,4.7346
2022-01-02,Nepal ,0.3534
2022-01-02,United Arab Emirates ,1.2216
2022-01-02,Romania ,2.7732
2022-01-02,Iraq ,1.6432
2022-01-02,Finland ,1.6393
2022-01-02,Belgium ,1.5957
2022-01-02,Taiwan ,0.5747
2022-01-02,Madagascar ,0
2022-01-02,Georgia ,4.1667
2022-01-02,Tunisia ,0
2022-01-02,Iran ,0.4651
2022-01-02,Austria ,0.6601
2022-01-02,Ecuador ,0
2022-01-02,Liberia ,0
2022-01-02,Malta ,0
2022-01-02,New Zealand ,0
2022-01-02,Chile ,0
2022-01-02,Guam ,0
2022-01-02,Kyrgyzstan ,9.2308
2022-01-02,Venezuela ,0.396
2022-01-02,South Korea ,0.2335
2022-01-02,Morocco ,2.7473
2022-01-02,Nicaragua ,0
2022-01-02,United Kingdom ,0.3909
2022-01-02,Yemen ,0
2022-01-02,Turkey ,0.454
2022-01-02,Nigeria ,0.2699
2022-01-03,Belize ,0
2022-01-03,Netherlands ,0.3224
2022-01-03,Laos ,0
2022-01-03,Afghanistan ,1.0204
2022-01-03,India ,0.427
2022-01-03,Niger ,0
2022-01-03,Poland ,1.8641
2022-01-03,Lesotho ,0
2022-01-03,Djibouti ,0
2022-01-03,Honduras ,0.813
2022-01-03,Kazakhstan ,19.3939
2022-01-03,Rwanda ,0
2022-01-03,Kosovo ,0.9091
2022-01-03,Portugal ,1.5293
2022-01-03,Japan ,1.1334
2022-01-03,United States ,1.2853
2022-01-03,Sweden ,1.6949
2022-01-03,Dominican Republic ,0
2022-01-03,Singapore ,2.4735
2022-01-03,Russia ,16.4937
2022-01-03,Congo ,0
2022-01-03,Guinea ,0.7752
2022-01-03,Oman ,0
2022-01-03,Philippines ,0.5612
2022-01-03,Gabon ,0
2022-01-03,Norway ,3.4234
2022-01-03,Ukraine ,55.4712
2022-01-03,Armenia ,6.8154
2022-01-03,Bangladesh ,0.702
2022-01-03,Paraguay ,0
2022-01-03,Iceland ,2.4038
2022-01-03,Tanzania ,0
2022-01-03,Brazil ,0.3484
2022-01-03,Denmark ,1.4327
2022-01-03,Burkina Faso ,0
2022-01-03,El Salvador ,0
2022-01-03,Belarus ,13.1291
2022-01-03,Saudi Arabia ,1.1254
2022-01-03,Somalia ,0
2022-01-03,Tajikistan ,12.5
2022-01-03,Serbia ,2.6587
2022-01-03,France ,1.032
2022-01-03,Jamaica ,0
2022-01-03,Indonesia ,0.1767
2022-01-03,Swaziland ,0
2022-01-03,Cuba ,0
2022-01-03,Argentina ,0.2035
2022-01-03,North Korea ,4.5455
2022-01-03,Moldova ,8.427
2022-01-03,South Sudan ,0
2022-01-03,Bolivia ,0.7519
2022-01-03,Kenya ,0
2022-01-03,Costa Rica ,0
2022-01-03,Croatia ,1.8834
2022-01-03,Australia ,0.8547
2022-01-03,Estonia ,3.5831
2022-01-03,Comoros ,0
2022-01-03,Azerbaijan ,8.7571
2022-01-03,Mexico ,0.3933
2022-01-03,Mayotte ,0
2022-01-03,Germany ,2.1036
2022-01-03,Sudan ,0
2022-01-03,Ireland ,0.2857
2022-01-03,Luxembourg ,2.5
2022-01-03,Malawi ,0
2022-01-03,Turkmenistan ,0
2022-01-03,Greece ,1.9466
2022-01-03,Cape Verde ,0
2022-01-03,Namibia ,0
2022-01-03,Ghana ,0
2022-01-03,Myanmar ,0
2022-01-03,Italy ,0.3258
2022-01-03,Kuwait ,0.8475
2022-01-03,Colombia ,0.442
2022-01-03,Pakistan ,2.2352
2022-01-03,Benin ,0
2022-01-03,Czech Republic ,4.8405
2022-01-03,Uzbekistan ,2.8571
2022-01-03,Monaco ,0
2022-01-03,Montenegro ,3.9683
2022-01-03,Sierra Leone ,0
2022-01-03,China ,1.2397
2022-01-03,Democratic Republic of the Congo ,0
2022-01-03,Zambia ,0
2022-01-03,Panama ,0.3521
2022-01-03,Uganda ,2.1277
2022-01-03,Cambodia ,0
2022-01-03,Hong Kong ,0.5115
2022-01-03,Senegal ,0
2022-01-03,Macedonia ,2.7985
2022-01-03,Vietnam ,0
2022-01-03,Mali ,1.5306
2022-01-03,Switzerland ,2.2712
2022-01-03,Haiti ,0
2022-01-03,Mozambique ,0
2022-01-03,Algeria ,0
2022-01-03,Latvia ,6.7055
2022-01-03,Chad ,0
2022-01-03,Slovenia ,1.4467
2022-01-03,Bahrain ,0
2022-01-03,Burundi ,0
2022-01-03,Albania ,2.7778
2022-01-03,Mauritius ,0
2022-01-03,Slovak Republic ,2.0031
2022-01-03,Cyprus ,1.3008
2022-01-03,Central African Republic ,0
2022-01-03,Libya ,0.6211
2022-01-03,Angola ,0
2022-01-03,Lebanon ,1.3216
2022-01-03,Canada ,0.964
2022-01-03,Eritrea ,0
2022-01-03,Bosnia-Herzegovina ,5.2764
2022-01-03,Ethiopia ,0
2022-01-03,South Africa ,0.5531
2022-01-03,Brunei ,2.1277
2022-01-03,,2.7778
2022-01-03,Uruguay ,0
2022-01-03,Zimbabwe ,0
2022-01-03,Mauritania ,0
2022-01-03,Sri Lanka ,3.8462
2022-01-03,Egypt ,0.6899
2022-01-03,Botswana ,0
2022-01-03,Cameroon ,0
2022-01-03,Malaysia ,1.3205
2022-01-03,Spain ,0.4446
2022-01-03,Thailand ,0.7168
2022-01-03,Suriname ,0
2022-01-03,Guatemala ,0
2022-01-03,Israel ,1.8029
2022-01-03,Ivory Coast ,0
2022-01-03,Peru ,0.361
2022-01-03,Qatar ,3.0558
2022-01-03,Hungary ,3.1334
2022-01-03,Jordan ,0.2732
2022-01-03,Syria ,3.6386
2022-01-03,Bulgaria ,3.237
2022-01-03,Fiji ,1.4286
2022-01-03,Guyana ,0
2022-01-03,Mongolia ,1.4493
2022-01-03,Lithuania ,6.717
2022-01-03,Nepal ,0.8621
2022-01-03,United Arab Emirates ,1.1148
2022-01-03,Romania ,3.0151
2022-01-03,Iraq ,0.4376
2022-01-03,Finland ,4.0816
2022-01-03,Belgium ,1.0909
2022-01-03,Taiwan ,0.4124
2022-01-03,Madagascar ,0
2022-01-03,Georgia ,0
2022-01-03,Tunisia ,0
2022-01-03,Iran ,4.3825
2022-01-03,Austria ,1.087
2022-01-03,Ecuador ,0
2022-01-03,Liberia ,8.3333
2022-01-03,Malta ,0
2022-01-03,New Zealand ,1.0256
2022-01-03,Chile ,0.4695
2022-01-03,Guam ,0
2022-01-03,Kyrgyzstan ,16.1905
2022-01-03,Venezuela ,0.7123
2022-01-03,South Korea ,0.6354
2022-01-03,Morocco ,1.2903
2022-01-03,Nicaragua ,2.2222
2022-01-03,United Kingdom ,0.3645
2022-01-03,Yemen ,0
2022-01-03,Turkey ,0.7811
2022-01-03,Nigeria ,0.1351
2022-01-04,Belize ,0
2022-01-04,Netherlands ,0.3262
2022-01-04,Laos ,0
2022-01-04,Afghanistan ,3.4783
2022-01-04,India ,0.4322
2022-01-04,Niger ,0
2022-01-04,Poland ,1.7019
2022-01-04,Lesotho ,0
2022-01-04,Djibouti ,0
2022-01-04,Honduras ,0
2022-01-04,Kazakhstan ,17.4419
2022-01-04,Rwanda ,0
2022-01-04,Kosovo ,4.5802
2022-01-04,Portugal ,0.5785
2022-01-04,Japan ,0.6893
2022-01-04,United States ,0.5527
2022-01-04,Sweden ,1.1404
2022-01-04,Dominican Republic ,0
2022-01-04,Singapore ,0.6289
2022-01-04,Russia ,15.467
2022-01-04,Congo ,0
2022-01-04,Guinea ,0
2022-01-04,Oman ,0
2022-01-04,Philippines ,0.8048
2022-01-04,Gabon ,0
2022-01-04,Norway ,4.1166
2022-01-04,Ukraine ,55.8857
2022-01-04,Armenia ,6.3078
2022-01-04,Bangladesh ,0.5867
2022-01-04,Paraguay ,0
2022-01-04,Iceland ,0
2022-01-04,Tanzania ,0
2022-01-04,Brazil ,0.398
2022-01-04,Denmark ,1.0256
2022-01-04,Burkina Faso ,0
2022-01-04,El Salvador ,0
2022-01-04,Belarus ,14.7577
2022-01-04,Saudi Arabia ,1.3675
2022-01-04,Somalia ,0
2022-01-04,Tajikistan ,16.3265
2022-01-04,Serbia ,1.4615
2022-01-04,France ,0.6946
2022-01-04,Jamaica ,0
2022-01-04,Indonesia ,0.3621
2022-01-04,Swaziland ,0
2022-01-04,Cuba ,0
2022-01-04,Argentina ,0.0472
2022-01-04,North Korea ,9.5238
2022-01-04,Moldova ,8.5106
2022-01-04,South Sudan ,0
2022-01-04,Bolivia ,0.4144
2022-01-04,Kenya ,1.2579
2022-01-04,Costa Rica ,0
2022-01-04,Croatia ,1.5192
2022-01-04,Australia ,1.0035
2022-01-04,Estonia ,5.1546
2022-01-04,Comoros ,0
2022-01-04,Azerbaijan ,7.5203
2022-01-04,Mexico ,0.289
2022-01-04,Mayotte ,0
2022-01-04,Germany ,0.9897
2022-01-04,Sudan ,0
2022-01-04,Ireland ,0.6215
2022-01-04,Luxembourg ,0.5814
2022-01-04,Malawi ,0
2022-01-04,Turkmenistan ,0
2022-01-04,Greece ,1.8092
2022-01-04,Cape Verde ,0
2022-01-04,Namibia ,0
2022-01-04,Ghana ,0.1953
2022-01-04,Myanmar ,2.9412
2022-01-04,Italy ,0.1759
2022-01-04,Kuwait ,2.0896
2022-01-04,Colombia ,0.1325
2022-01-04,Pakistan ,0.991
2022-01-04,Benin ,3.8462
2022-01-04,Czech Republic ,4.0373
2022-01-04,Uzbekistan ,15.7895
2022-01-04,Monaco ,0
2022-01-04,Montenegro ,2.3077
2022-01-04,Sierra Leone ,0
2022-01-04,China ,1.1984
2022-01-04,Democratic Republic of the Congo ,0
2022-01-04,Zambia ,0
2022-01-04,Panama ,0
2022-01-04,Uganda ,0
2022-01-04,Cambodia ,2.3121
2022-01-04,Hong Kong ,0.6383
2022-01-04,Senegal ,0.5236
2022-01-04,Macedonia ,2.5641
2022-01-04,Vietnam ,0.0291
2022-01-04,Mali ,0
2022-01-04,Switzerland ,0.6695
2022-01-04,Haiti ,0
2022-01-04,Mozambique ,0
2022-01-04,Algeria ,0
2022-01-04,Latvia ,4.914
2022-01-04,Chad ,0
2022-01-04,Slovenia ,1.318
2022-01-04,Bahrain ,0.8163
2022-01-04,Burundi ,0
2022-01-04,Albania ,3.7801
2022-01-04,Mauritius ,0
2022-01-04,Slovak Republic ,2.4279
2022-01-04,Cyprus ,1.5762
2022-01-04,Central African Republic ,0
2022-01-04,Libya ,1.1628
2022-01-04,Angola ,0
2022-01-04,Lebanon ,1.3015
2022-01-04,Canada ,1.594
2022-01-04,Eritrea ,0
2022-01-04,Bosnia-Herzegovina ,1.9565
2022-01-04,Ethiopia ,0
2022-01-04,South Africa ,0.1845
2022-01-04,Brunei ,0
2022-01-04,,0
2022-01-04,Uruguay ,0
2022-01-04,Zimbabwe ,0.7752
2022-01-04,Mauritania ,0
2022-01-04,Sri Lanka ,2.7586
2022-01-04,Egypt ,0.7871
2022-01-04,Botswana ,0
2022-01-04,Cameroon ,0
2022-01-04,Malaysia ,1.1685
2022-01-04,Spain ,0.456
2022-01-04,Thailand ,0.6886
2022-01-04,Suriname ,2.3256
2022-01-04,Guatemala ,0
2022-01-04,Israel ,2.1124
2022-01-04,Ivory Coast ,0
2022-01-04,Peru ,0
2022-01-04,Qatar ,3.0151
2022-01-04,Hungary ,1.5013
2022-01-04,Jordan ,0.2674
2022-01-04,Syria ,3.7394
2022-01-04,Bulgaria ,2.2366
2022-01-04,Fiji ,2.7027
2022-01-04,Guyana ,2.8571
2022-01-04,Mongolia ,1.9139
2022-01-04,Lithuania ,3.9644
2022-01-04,Nepal ,0.2584
2022-01-04,United Arab Emirates ,0.8307
2022-01-04,Romania ,2.6751
2022-01-04,Iraq ,0.7156
2022-01-04,Finland ,4.8984
2022-01-04,Belgium ,0.9955
2022-01-04,Taiwan ,0.7722
2022-01-04,Madagascar ,0
2022-01-04,Georgia ,5
2022-01-04,Tunisia ,0
2022-01-04,Iran ,4.4568
2022-01-04,Austria ,0.3979
2022-01-04,Ecuador ,0
2022-01-04,Liberia ,4.3478
2022-01-04,Malta ,2.7778
2022-01-04,New Zealand ,0.4193
2022-01-04,Chile ,0.209
2022-01-04,Guam ,0
2022-01-04,Kyrgyzstan ,12.4352
2022-01-04,Venezuela ,0.111
2022-01-04,South Korea ,0.7557
2022-01-04,Morocco ,1.497
2022-01-04,Nicaragua ,3.5088
2022-01-04,United Kingdom ,0.6192
2022-01-04,Yemen ,0
2022-01-04,Turkey ,1.3646
2022-01-04,Nigeria ,0.4584
2022-01-05,Belize ,0
2022-01-05,Netherlands ,0.09
2022-01-05,Laos ,0
2022-01-05,Afghanistan ,3.2
2022-01-05,India ,0.372
2022-01-05,Niger ,0
2022-01-05,Poland ,1.2566
2022-01-05,Lesotho ,0
2022-01-05,Djibouti ,0
2022-01-05,Honduras ,0
2022-01-05,Kazakhstan ,11.7886
2022-01-05,Rwanda ,0
2022-01-05,Kosovo ,0
2022-01-05,Portugal ,0.7797
2022-01-05,Japan ,0.4717
2022-01-05,United States ,0.5568
2022-01-05,Sweden ,0.6762
2022-01-05,Dominican Republic ,0.3992
2022-01-05,Singapore ,0.8333
2022-01-05,Russia ,11.2002
2022-01-05,Congo ,0
2022-01-05,Guinea ,0.9174
2022-01-05,Oman ,0
2022-01-05,Philippines ,0.2008
2022-01-05,Gabon ,0
2022-01-05,Norway ,0.9434
2022-01-05,Ukraine ,52.9022
2022-01-05,Armenia ,4.0783
2022-01-05,Bangladesh ,0.5792
2022-01-05,Paraguay ,0.3861
2022-01-05,Iceland ,0
2022-01-05,Tanzania ,0
2022-01-05,Brazil ,0.4874
2022-01-05,Denmark ,0.625
2022-01-05,Burkina Faso ,0
2022-01-05,El Salvador ,0
2022-01-05,Belarus ,12.605
2022-01-05,Saudi Arabia ,0.8606
2022-01-05,Somalia ,0
2022-01-05,Tajikistan ,11.9048
2022-01-05,Serbia ,1.4362
2022-01-05,France ,0.5114
2022-01-05,Jamaica ,0.7843
2022-01-05,Indonesia ,0.2055
2022-01-05,Swaziland ,0
2022-01-05,Cuba ,0
2022-01-05,Argentina ,0.0939
2022-01-05,North Korea ,0
2022-01-05,Moldova ,4.3716
2022-01-05,South Sudan ,0
2022-01-05,Bolivia ,0.5181
2022-01-05,Kenya ,0.5102
2022-01-05,Costa Rica ,0
2022-01-05,Croatia ,1.7463
2022-01-05,Australia ,0.6559
2022-01-05,Estonia ,4.058
2022-01-05,Comoros ,0
2022-01-05,Azerbaijan ,3.4954
2022-01-05,Mexico ,0.1577
2022-01-05,Mayotte ,0
2022-01-05,Germany ,1.5257
2022-01-05,Sudan ,0
2022-01-05,Ireland ,0.2015
2022-01-05,Luxembourg ,0.8333
2022-01-05,Malawi ,0
2022-01-05,Turkmenistan ,0
2022-01-05,Greece ,1.4715
2022-01-05,Cape Verde ,0
2022-01-05,Namibia ,0
2022-01-05,Ghana ,0.1742
2022-01-05,Myanmar ,1.3699
2022-01-05,Italy ,0.2766
2022-01-05,Kuwait ,1.4749
2022-01-05,Colombia ,0.3391
2022-01-05,Pakistan ,1.0093
2022-01-05,Benin ,0
2022-01-05,Czech Republic ,4.7778
2022-01-05,Uzbekistan ,3.7736
2022-01-05,Monaco ,0
2022-01-05,Montenegro ,2.069
2022-01-05,Sierra Leone ,0
2022-01-05,China ,0.8235
2022-01-05,Democratic Republic of the Congo ,0
2022-01-05,Zambia ,0
2022-01-05,Panama ,0.5277
2022-01-05,Uganda ,0
2022-01-05,Cambodia ,1.5267
2022-01-05,Hong Kong ,0.1984
2022-01-05,Senegal ,0
2022-01-05,Macedonia ,2.4779
2022-01-05,Vietnam ,0.0142
2022-01-05,Mali ,0.8696
2022-01-05,Switzerland ,0.254
2022-01-05,Haiti ,0
2022-01-05,Mozambique ,0
2022-01-05,Algeria ,0.303
2022-01-05,Latvia ,6.9307
2022-01-05,Chad ,0
2022-01-05,Slovenia ,1.2066
2022-01-05,Bahrain ,0.4082
2022-01-05,Burundi ,0
2022-01-05,Albania ,1.9048
2022-01-05,Mauritius ,0
2022-01-05,Slovak Republic ,2.9536
2022-01-05,Cyprus ,1.1765
2022-01-05,Central African Republic ,0
2022-01-05,Libya ,1.087
2022-01-05,Angola ,0
2022-01-05,Lebanon ,1.3304
2022-01-05,Canada ,0.4782
2022-01-05,Eritrea ,0
2022-01-05,Bosnia-Herzegovina ,1.9569
2022-01-05,Ethiopia ,0
2022-01-05,South Africa ,0.3717
2022-01-05,Brunei ,0
2022-01-05,,0
2022-01-05,Uruguay ,0.4808
2022-01-05,Zimbabwe ,0
2022-01-05,Mauritania ,0
2022-01-05,Sri Lanka ,1.3072
2022-01-05,Egypt ,0.9343
2022-01-05,Botswana ,0
2022-01-05,Cameroon ,0
2022-01-05,Malaysia ,0.6836
2022-01-05,Spain ,0.5254
2022-01-05,Thailand ,0.2918
2022-01-05,Suriname ,0
2022-01-05,Guatemala ,0
2022-01-05,Israel ,1.7922
2022-01-05,Ivory Coast ,0
2022-01-05,Peru ,0
2022-01-05,Qatar ,3.4884
2022-01-05,Hungary ,1.2325
2022-01-05,Jordan ,0.2304
2022-01-05,Syria ,3.1328
2022-01-05,Bulgaria ,2.1945
2022-01-05,Fiji ,1.1905
2022-01-05,Guyana ,0
2022-01-05,Mongolia ,0
2022-01-05,Lithuania ,5.6893
2022-01-05,Nepal ,0.5666
2022-01-05,United Arab Emirates ,0.5644
2022-01-05,Romania ,2.3439
