Date,Value,Deaths,sevent,sdescription
3/11/22,21.32,107,0,
3/12/22,20.90,50,0,"From small towns to large cities, the extent of Russia’s aerial bombardment of Ukraine"
3/13/22,22.72,137,1,Russian strikes kill dozens in western Ukraine
3/14/22,20.40,242,0,
3/15/22,19.76,808,0,
3/16/22,19.36,365,0,
3/17/22,17.91,76,0,
3/18/22,18.05,145,0,
3/19/22,19.51,98,0,
3/20/22,18.20,49,1,An initial analysis of damage in Mariupol shows widespread attacks across residential areas
3/21/22,17.22,372,0,
3/22/22,15.78,49,0,
3/23/22,16.00,37,0,
3/24/22,17.38,149,0,
3/25/22,16.44,189,1,NATO sharply increases its forces in Eastern Europe
3/26/22,16.69,37,0,
3/27/22,17.46,21,0,
3/28/22,15.03,36,0,
3/29/22,14.88,44,0,
3/30/22,13.94,9,0,
3/31/22,13.59,203,0,
4/1/22,13.65,81,0,
4/2/22,14.38,2,1,Ukraine reclaims control of dozens of towns after Russian troops withdraw from around Kyiv
4/3/22,15.28,93,0,
4/4/22,14.25,48,0,
4/5/22,14.32,36,0,
4/6/22,13.79,13,0,
4/7/22,13.47,63,0,
4/8/22,13.61,89,0,
4/9/22,13.80,12,0,
4/10/22,14.72,122,0,
4/11/22,12.83,37,0,
4/12/22,12.80,99,0,
4/13/22,13.38,41,1,Russia tightens its grip on Mariupol
4/14/22,12.78,67,0,
4/15/22,12.33,78,0,
4/16/22,12.89,33,0,
4/17/22,12.88,20,0,
4/18/22,11.90,64,0,
4/19/22,12.30,20,0,
4/20/22,12.09,25,1,The Russian military advances from several directions
4/21/22,11.91,318,0,
4/22/22,11.69,99,0,
4/23/22,12.87,28,0,
4/24/22,12.06,115,0,
4/25/22,11.69,57,0,
4/26/22,11.63,81,0,
4/27/22,11.32,8,0,
4/28/22,11.97,85,0,
4/29/22,11.50,20,0,
4/30/22,11.97,47,0,
5/1/22,13.51,137,0,
5/2/22,12.56,10,0,
5/3/22,11.51,52,0,
5/4/22,11.36,12,0,
5/5/22,11.36,68,0,
5/6/22,10.96,47,0,
5/7/22,11.37,110,0,
5/8/22,14.02,13,0,
5/9/22,12.59,15,0,
5/10/22,11.13,99,0,
5/11/22,10.58,492,0,
5/12/22,10.18,62,0,
5/13/22,10.08,329,1,Finland and Sweden consider joining NATO
5/14/22,11.29,11,0,
5/15/22,12.89,228,0,
5/16/22,10.46,49,0,
5/17/22,9.90,112,0,
5/18/22,10.19,18,0,
5/19/22,10.61,150,0,
5/20/22,9.71,49,0,
5/21/22,10.45,9,0,
5/22/22,10.58,52,0,
5/23/22,10.97,10,0,
5/24/22,10.22,47,0,
5/25/22,8.86,16,0,
5/26/22,8.73,98,0,
5/27/22,8.53,48,0,
5/28/22,9.83,92,0,
5/29/22,10.02,115,1,Russia is closer to capturing key eastern city
5/30/22,10.03,45,0,
5/31/22,9.70,15,0,
6/1/22,9.54,55,0,
6/2/22,8.90,118,0,
6/3/22,9.68,9,0,
6/4/22,9.06,67,0,
6/5/22,9.56,94,0,
6/6/22,9.52,108,0,
6/7/22,8.79,105,0,
6/8/22,8.79,11,0,
6/9/22,8.29,141,0,
6/10/22,8.69,9,0,
6/11/22,9.78,38,0,
6/12/22,9.61,17,0,
6/13/22,8.08,13,0,
6/14/22,7.99,81,0,
6/15/22,8.55,14,0,
6/16/22,8.92,98,0,
6/17/22,9.21,1,0,
6/18/22,8.59,40,0,
6/19/22,9.26,7,0,
6/20/22,8.51,19,0,
6/21/22,8.50,30,0,
6/22/22,7.99,18,1,How Russia regained momentum in eastern Ukraine
6/23/22,8.31,127,0,
6/24/22,7.72,2,0,
6/25/22,8.21,38,0,
6/26/22,10.06,19,1,Russia launches barrage of missiles across Ukraine
6/27/22,9.36,45,0,
6/28/22,8.10,33,0,
6/29/22,8.35,10,0,
6/30/22,8.32,49,0,
7/1/22,7.66,29,1,Ukrainian counterattacks edge closer to Kherson
7/2/22,7.15,12,0,
7/3/22,8.25,32,0,
7/4/22,7.91,14,0,
7/5/22,7.42,10,0,
7/6/22,7.50,7,0,
7/7/22,8.12,33,0,
7/8/22,7.29,2,0,
7/9/22,7.57,170,0,
7/10/22,8.35,39,0,
7/11/22,7.44,132,0,
7/12/22,7.08,21,0,
7/13/22,7.13,75,0,
7/14/22,7.28,224,0,
7/15/22,7.08,13,0,
7/16/22,7.76,17,0,
7/17/22,8.43,68,0,
7/18/22,7.77,116,0,
7/19/22,6.96,51,0,
7/20/22,7.36,54,0,
7/21/22,7.41,136,0,
7/22/22,7.18,0,0,
7/23/22,7.67,71,0,
7/24/22,7.46,74,0,
7/25/22,7.19,31,0,
7/26/22,7.11,1,0,
7/27/22,7.08,155,0,
7/28/22,7.33,169,0,
7/29/22,7.48,61,0,
7/30/22,7.48,88,0,
7/31/22,7.34,35,0,
8/1/22,7.22,6,0,
8/2/22,6.42,2,0,
8/3/22,6.51,195,0,
8/4/22,6.81,167,0,
8/5/22,6.31,1,0,
8/6/22,6.48,5,0,
8/7/22,7.09,37,0,
8/8/22,7.21,196,0,
8/9/22,6.36,3,0,
8/10/22,6.51,173,0,
8/11/22,6.80,4,0,
8/12/22,6.19,11,0,
8/13/22,5.87,24,0,
8/14/22,5.71,9,0,
8/15/22,6.03,60,0,
8/16/22,6.25,53,0,
8/17/22,5.75,116,0,
8/18/22,6.25,161,0,
8/19/22,6.61,4,0,
8/20/22,7.13,17,0,
8/21/22,8.04,2,0,
8/22/22,7.07,2,0,
8/23/22,7.35,10,0,
8/24/22,8.70,144,0,
8/25/22,6.89,263,0,
8/26/22,6.79,203,0,
8/27/22,6.87,48,0,
8/28/22,6.55,5,0,
8/29/22,6.53,6,0,
8/30/22,6.67,9,0,
8/31/22,6.83,366,0,
9/1/22,6.36,176,0,
9/2/22,6.26,1,0,
9/3/22,6.71,10,0,
9/4/22,6.88,2,0,
9/5/22,7.31,434,0,
9/6/22,7.57,74,0,
9/7/22,7.23,174,0,
9/8/22,6.46,151,0,
9/9/22,5.82,3,1,Ukraine rapidly advances around a key northeastern city
9/10/22,6.38,257,1,"In stunning retreat, Russia loses key northeastern cities to Ukrainian offensive"
9/11/22,7.87,3,0,
9/12/22,7.07,16,1,"Ukraine recaptured 3,400 square miles in one week"
9/13/22,6.56,7,0,
9/14/22,6.68,94,0,
9/15/22,6.90,149,0,
9/16/22,7.21,43,0,
9/17/22,7.42,83,0,
9/18/22,6.96,216,0,
9/19/22,6.81,81,0,
9/20/22,7.94,6,0,
9/21/22,9.97,88,0,
9/22/22,8.83,93,0,
9/23/22,8.28,5,0,
9/24/22,8.59,5,0,
9/25/22,8.82,52,0,
9/26/22,7.85,84,0,
9/27/22,7.88,222,0,
9/28/22,7.96,84,0,
9/29/22,7.22,198,0,
9/30/22,8.95,46,1,"Ukraine is on the verge of encircling Lyman, a major rail hub"
10/1/22,9.26,11,0,
10/2/22,8.37,7,0,
10/3/22,7.48,1,0,
10/4/22,7.57,4,1,Ukraine forces a Russian retreat with a rapid advance in the south
10/5/22,7.88,150,0,
10/6/22,7.81,45,0,
10/7/22,8.80,25,0,
10/8/22,8.80,96,0,
10/9/22,8.90,19,1,"Pressing on two fronts, Ukraine extends its gains in the east and makes a sudden advance in the south"
10/10/22,10.46,21,0,
10/11/22,9.69,10,0,
10/12/22,8.66,239,0,
10/13/22,8.23,76,0,
10/14/22,7.56,169,0,
10/15/22,7.96,103,0,
10/16/22,8.40,4,0,
10/17/22,7.93,19,0,
10/18/22,7.34,3,0,
10/19/22,7.88,103,0,
10/20/22,7.67,232,0,
10/21/22,7.21,2,0,
10/22/22,7.56,59,0,
10/23/22,7.92,5,0,
10/24/22,7.40,67,0,
10/25/22,7.87,43,0,
10/26/22,7.56,97,0,
10/27/22,7.73,172,0,
10/28/22,6.81,1,0,
10/29/22,7.83,28,0,
10/30/22,7.30,0,0,
10/31/22,7.18,9,0,
11/1/22,6.86,8,0,
11/2/22,6.83,117,0,
11/3/22,7.22,184,0,
11/4/22,6.74,3,0,
11/5/22,7.58,,0,
11/6/22,7.52,,0,
11/7/22,7.32,,0,
11/8/22,6.47,,0,
11/9/22,6.07,,0,
11/10/22,7.00,,1,Russia announces a retreat from Kherson
11/11/22,8.47,,0,
11/12/22,7.64,,0,
11/13/22,7.74,,1,Ukraine has reclaimed more than half the territory Russia has taken this year
